,listing-number,listing-status,title,Monetization,Price,Monthly Net Profit,Monthly Revenue,Monthly Multiple,Business Created
107,#65752,For Sale,"Entertainment, Hobbies","Affiliate, Display Advertising, Amazon Associates","$271,259.00","$7,138.00","$7,187.00",38x,2020
108,#65250,For Sale,"Apparel & Accessories, Design",Amazon Merch,"$264,564.00","$6,453.00","$8,023.00",41x,2018
109,#66195,For Sale,Information,Other,"$260,303.00","$6,198.00","$25,725.00",42x,2018
110,#65126,For Sale,Medical,"eCommerce, Amazon FBA","$259,494.00","$7,013.00","$34,261.00",37x,2021
111,#64380,For Sale,"Health & Fitness, Lifestyle","Amazon FBA, eCommerce","$259,488.00","$6,654.00","$21,638.00",39x,2018
112,#66128,For Sale,"Pet Care, Information","Display Advertising, Other, Amazon Associates","$259,442.00","$5,295.00","$5,936.00",49x,2019
113,#64012,For Sale,"Health & Fitness, Technology, Food & Beverages",Amazon KDP,"$258,597.00","$8,342.00","$16,164.00",31x,2021
114,#64125,For Sale,"Home, Office Supply","Amazon FBA, eCommerce","$257,830.00","$6,968.00","$43,066.00",37x,2019
115,#63098,For Sale,"Children, Art","eCommerce, Amazon FBA","$256,867.00","$6,586.00","$32,643.00",39x,2019
116,#65757,For Sale,Sports,"Amazon Associates, Affiliate, Display Advertising","$245,338.00","$5,706.00","$7,195.00",43x,2019
117,#64962,For Sale,Automotive,"Display Advertising, Lead Gen","$234,229.00","$6,331.00","$7,005.00",37x,2020
118,#63821,For Sale,"Art, Hobbies",Info Product,"$229,301.00","$11,465.00","$26,213.00",20x,2021
119,#64867,For Sale,"Home, Outdoors",Amazon FBA,"$228,339.00","$4,858.00","$21,362.00",47x,2019
120,#66415,For Sale,"Information, Culinary",Display Advertising,"$221,780.00","$6,337.00","$6,789.00",35x,2021
121,#60356,For Sale,"Business, Digital Media",SaaS,"$221,689.00","$4,263.00","$5,844.00",52x,2019
122,#64437,For Sale,"Digital Media, Art","Service, Amazon Associates, Display Advertising","$220,967.00","$8,184.00","$13,641.00",27x,2021
123,#64950,For Sale,Personal Care,"Display Advertising, Amazon Associates","$219,950.00","$5,640.00","$6,144.00",39x,2015
124,#61935,For Sale,"Information, Business",Amazon KDP,"$212,046.00","$5,580.00","$6,550.00",38x,2017
125,#65699,For Sale,Automotive,"Display Advertising, Affiliate, Amazon Associates","$210,767.00","$7,026.00","$7,330.00",30x,2021
126,#64351,For Sale,Employment,"Amazon KDP, Amazon Merch","$206,685.00","$5,300.00","$8,929.00",39x,2018
127,#65067,For Sale,"Finance, Business",Service,"$205,733.00","$7,348.00","$13,326.00",28x,2019
128,#63635,For Sale,"Information, Business",Info Product,"$198,657.00","$5,518.00","$7,026.00",36x,2013
129,#56652,Pending Sold,"Home, Personal Care, Apparel & Accessories","Amazon FBA, eCommerce","$195,658.00","$6,747.00","$45,591.00",29x,2016
130,#66182,For Sale,"Books, Children, Sports, Hobbies",Amazon KDP,"$185,519.00","$5,456.00","$7,483.00",34x,2019
131,#63772,For Sale,"Health & Fitness, Information, Equipment","Affiliate, Amazon Associates","$184,244.00","$5,758.00","$5,991.00",32x,2019
132,#61262,For Sale,Books,Amazon KDP,"$182,745.00","$6,527.00","$10,992.00",28x,2019
133,#64879,For Sale,"Home, Office Supply","eCommerce, DropShipping","$179,654.00","$5,133.00","$37,396.00",35x,2020
134,#65703,Pending Sold,"Culinary, Home, Health & Fitness",Display Advertising,"$178,677.00","$4,061.00","$4,210.00",44x,2017
135,#64197,For Sale,"Books, Baking, Survival & Security",Amazon KDP,"$176,560.00","$6,791.00","$9,949.00",26x,2020
136,#60748,For Sale,Lifestyle,"Display Advertising, Affiliate, Other, Amazon Associates","$167,989.00","$4,307.00","$4,476.00",39x,2010
137,#63606,For Sale,"Religion & Spirituality, Information, Medical",Amazon KDP,"$156,263.00","$5,388.00","$11,086.00",29x,2020
138,#66822,For Sale,"Sports, Health & Fitness","Amazon Associates, Affiliate, Display Advertising","$153,244.00","$3,929.00","$5,218.00",39x,2016
139,#65352,For Sale,"Books, Personal Care, Food & Beverages",Amazon KDP,"$149,530.00","$3,834.00","$6,632.00",39x,2019
140,#60799,For Sale,Art,eCommerce,"$148,921.00","$4,804.00","$10,927.00",31x,2020
141,#64397,For Sale,"Books, Information, Religion & Spirituality",Amazon KDP,"$148,334.00","$6,449.00","$9,201.00",23x,2019
142,#61188,For Sale,Office Supply,Amazon FBA,"$143,017.00","$4,932.00","$25,219.00",29x,2016
143,#65194,For Sale,Information,SaaS,"$142,279.00","$3,309.00","$5,035.00",43x,2021
144,#66351,For Sale,"Home, Real Estate","Display Advertising, Digital Product, Affiliate","$138,500.00","$3,078.00","$3,352.00",45x,2018
145,#59661,For Sale,Apparel & Accessories,"Display Advertising, Amazon Associates","$133,264.00","$3,173.00","$3,276.00",42x,2016
146,#66002,For Sale,"Health & Fitness, Information","Display Advertising, Affiliate, Other","$132,739.00","$3,087.00","$3,141.00",43x,2014
147,#66056,For Sale,"Culinary, Books",Amazon KDP,"$131,457.00","$3,130.00","$6,244.00",42x,2021
148,#66498,For Sale,Apparel & Accessories,Amazon Merch,"$127,862.00","$2,906.00","$2,906.00",44x,2016
149,#65656,For Sale,"Medical, Information","Display Advertising, Amazon Associates","$126,992.00","$3,175.00","$3,198.00",40x,2018
150,#66403,For Sale,"Pet Care, Information","Display Advertising, Amazon Associates, Affiliate","$126,213.00","$2,868.00","$2,911.00",44x,2016
151,#66534,For Sale,"Parenting, News & Education, Information",Display Advertising,"$125,949.00","$2,799.00","$3,343.00",45x,2018
152,#64807,For Sale,"Children, News & Education",Amazon FBA,"$125,710.00","$3,592.00","$11,391.00",35x,2019
153,#59515,For Sale,Children,Amazon FBA,"$125,553.00","$3,587.00","$13,288.00",35x,2020
154,#66283,For Sale,"Lifestyle, Quizzes",Display Advertising,"$125,477.00","$2,988.00","$3,022.00",42x,2019
155,#65530,For Sale,"Lifestyle, Information","Display Advertising, Amazon Associates, Affiliate, Digital Product, Amazon KDP","$123,569.00","$2,746.00","$2,778.00",45x,2019
156,#58199,For Sale,Home,Amazon FBA,"$121,578.00","$4,053.00","$18,538.00",30x,2015
157,#57933,For Sale,"Children, Home",Amazon FBA,"$121,404.00","$5,518.00","$18,711.00",22x,2017
158,#65038,For Sale,Health & Fitness,"eCommerce, Display Advertising, Amazon FBM","$119,131.00","$3,723.00","$11,055.00",32x,2020
159,#65934,For Sale,"Technology, Information",Display Advertising,"$115,331.00","$3,035.00","$3,110.00",38x,2018
160,#65690,For Sale,"Art, Digital Media",Digital Product,"$112,244.00","$2,672.00","$3,582.00",42x,2018
161,#63634,For Sale,Home,Amazon FBA,"$112,223.00","$2,953.00","$10,706.00",38x,2018
162,#61204,For Sale,Home,Amazon FBA,"$110,240.00","$3,141.00","$17,912.00",35x,2016
163,#63639,For Sale,"Books, Occasions & Gifts",Amazon KDP,"$109,982.00","$7,332.00","$8,570.00",15x,2021
164,#66042,For Sale,"Home, Equipment",Amazon FBA,"$107,489.00","$2,986.00","$16,061.00",36x,2020
165,#65974,For Sale,"Kitchenware, Home, Equipment",Amazon FBA,"$107,485.00","$2,559.00","$9,226.00",42x,2020
166,#64822,For Sale,"Technology, Information","Digital Product, Display Advertising, Affiliate","$104,886.00","$2,384.00","$2,971.00",44x,2015
167,#65772,For Sale,"Information, Equipment","Display Advertising, Affiliate, Amazon Associates","$98,377.00","$3,513.00","$3,577.00",28x,2020
168,#63010,For Sale,"Bed & Bath, Home",Affiliate,"$97,936.00","$3,377.00","$4,019.00",29x,2017
169,#66205,For Sale,"Art, Hobbies",Amazon KDP,"$96,809.00","$2,689.00","$3,173.00",36x,2020
170,#65505,For Sale,"Personal Care, Health & Fitness",Amazon FBA,"$96,700.00","$3,868.00","$14,022.00",25x,2020
171,#63162,For Sale,"Hobbies, Food & Beverages, Business",Amazon KDP,"$92,682.00","$3,089.00","$6,113.00",30x,2021
172,#66448,For Sale,"Home, Food & Beverages",Amazon FBA,"$91,646.00","$2,182.00","$12,009.00",42x,2019
173,#65636,For Sale,"Home, Health & Fitness","Affiliate, Amazon Associates","$91,054.00","$2,461.00","$2,525.00",37x,2016
174,#65594,For Sale,"Home, Equipment","Display Advertising, Amazon Associates","$87,376.00","$2,362.00","$2,781.00",37x,2021
175,#65953,For Sale,"Kitchenware, Home, Food & Beverages",Amazon FBA,"$84,156.00","$2,215.00","$9,005.00",38x,2018
176,#66090,For Sale,"Occasions & Gifts, Information",Affiliate,"$81,191.00","$2,030.00","$2,299.00",40x,2018
177,#59360,For Sale,Books,Amazon KDP,"$70,507.00","$2,137.00","$2,315.00",33x,2019
178,#64739,For Sale,"Outdoors, Home, Equipment",Amazon FBA,"$63,110.00","$1,753.00","$5,106.00",36x,2018
179,#62894,For Sale,Information,Amazon KDP,"$62,923.00","$1,907.00","$4,086.00",33x,2020
180,#64610,For Sale,"Home, Outdoors, Equipment","Display Advertising, Amazon Associates","$54,652.00","$2,186.00","$2,198.00",25x,2018
181,#57727,For Sale,Books,Amazon KDP,"$46,744.00","$1,948.00","$2,679.00",24x,2016
182,#59376,For Sale,"Kitchenware, Occasions & Gifts",Amazon FBA,"$46,580.00","$1,664.00","$12,647.00",28x,2017
